id,name,address,zipcode,phone,website,latitude,longitude
49059,Fort Bowie NHS,CO,,,,32.14925942,-109.451132
49060,Fort Caroline NMEM,OH,,,,30.38468309,-81.49802072
49061,Fort Davis NHS,FL,,,,30.59930381,-103.8961904
49062,Fort Donelson NB,CA,,,,36.49019078,-87.92445695
49063,Fort Frederica NM,PA,,,,31.2214699,-81.39452014
49064,Fort Laramie NHS,AK,,,,42.20301694,-104.5459112
49065,Fort Larned NHS,CO,,,,38.18047491,-99.21836664
49066,Fort Matanzas NM,FL,,,,29.7121489,-81.23567535
49067,Fort McHenry NM & HS,PA,,,,39.26395314,-76.58044165
49068,Fort Necessity NB,PA,,,,39.81306048,-79.59033344
49069,Fort Point NHS,NM,,,,37.80837439,-122.473747
49070,Fort Pulaski NM,NM,,,,32.0308274,-80.93361681
49071,Fort Raleigh NHS,NY,,,,35.93278602,-75.71496865
49072,Fort Scott NHS,CA,,,,37.84358849,-94.70429174
49073,Fort Smith NHS,FL,,,,35.38834746,-94.43129079
49074,Fort Stanwix NM,NY,,,,43.21053441,-75.45557626
49075,Fort Sumter NM,NY,,,,32.75654469,-79.87068744
49076,Fort Union NM,OH,,,,35.90700629,-105.0145185
49077,Fort Union Trading Post NHS,PA,,,,48.00075828,-104.0375238
49078,Fort Vancouver NHS,CO,,,,45.62234841,-122.6617043
49079,Fossil Butte NM,AZ,,,,41.85635223,-110.7624754
49080,Franklin Delano Roosevelt MEM,FL,,,,38.88341274,-77.04311542
49081,Frederick Douglass NHS,TX,,,,38.86298458,-76.98508147
49082,Frederick Law Olmsted NHS,TN,,,,42.32424266,-71.13202567
49083,Friendship Hill NHS,GA,,,,39.77543423,-79.92504169
49084,Gates of the Arctic NP & PRES,WY,,,,67.75961636,-153.2917758
49085,Gateway NRA,KS,,,,40.56536246,-73.9171087
49086,Gauley River NRA,FL,,,,38.20614947,-81.00420836
49087,General Grant NMEM,MD,,,,40.81332817,-73.96331542
49088,George Rogers Clark NHP,PA,,,,38.67912659,-87.53545212
49089,George Washington Birthplace NM,CA,,,,38.19362603,-76.92079458
49090,George Washington Carver NM,GA,,,,36.9871322,-94.35522737
49091,Gila Cliff Dwellings NM,NC,,,,33.22715258,-108.2706711
49092,Glacier Bay NP & PRES,KS,,,,58.80086718,-136.8407579
49093,Glacier NP,AR,,,,48.68414678,-113.8009306
49094,Glen Canyon NRA,NY,,,,37.51841301,-110.7718311
49095,Golden Gate NRA,SC,,,,37.85982543,-122.6007386
49096,Golden Spike NHS,NM,,,,41.61947508,-112.5242653
49097,Governors Island NM,WY,,,,40.69164233,-74.01670765
49098,Grand Canyon NP,DC,,,,36.17280161,-112.6836024
49099,Grand Portage NM,DC,,,,47.99294217,-89.75573031
49100,Grand Teton NP,MA,,,,43.81853565,-110.7054666
49101,Grant-Kohrs Ranch NHS,PA,,,,46.41358923,-112.7467024
49102,Great Basin NP,AK,,,,38.94617378,-114.2579782
49103,Great Sand Dunes NP & PRES,NY,,,,37.79256812,-105.5919572
49104,Great Smoky Mountains NP,NY,,,,35.60116374,-83.50818326
49105,Guadalupe Mountains NP,VA,,,,31.92304462,-104.885527
49106,Gulf Islands NS,NM,,,,30.29924926,-87.75064297
49107,Hagerman Fossil Beds NM,AK,,,,42.79074114,-114.9443074
49108,Haleakala NP,MT,,,,20.70693015,-156.1591775
49109,Hamilton Grange NMEM,UT,,,,40.81871605,-73.94878487
49110,Hampton NHS,CA,,,,39.4175296,-76.58781182
49111,Harpers Ferry NHP,UT,,,,39.31865949,-77.74088546
49112,Harry S Truman NHS,NY,,,,38.92711967,-94.5162488
49113,Hawaii Volcanoes NP,AZ,,,,19.3355036,-155.4700257
49114,Herbert Hoover NHS,WY,,,,41.66793558,-91.35232139
49115,Home of Franklin D. Roosevelt NHS,MT,,,,41.76639758,-73.92516857
49116,Homestead NM of America,CO,,,,40.28802381,-96.83387781
49117,Hopewell Culture NHP,TN,,,,39.31594374,-83.08049456
49118,Hopewell Furnace NHS,TX,,,,40.20610637,-75.76766355
49119,Hot Springs NP,FL,,,,34.52414366,-93.06332936
49120,Hovenweep NM,ID,,,,37.39134092,-109.0047977
49121,Hubbell Trading Post NHS,NY,,,,35.70727324,-109.5599515
49122,Independence NHP,MD,,,,39.94746112,-75.14794157
49123,Isle Royale NP,WV,,,,48.01145819,-88.82780657
49124,James A. Garfield NHS,MO,,,,41.66486549,-81.35086557
49125,Jean Lafitte NHP & PRES,HI,,,,29.81739855,-90.1402241
49126,Jefferson NEM,IA,,,,38.62328806,-90.18039557
49127,Jewel Cave NM,NY,,,,43.73102945,-103.829994
49128,Jimmy Carter NHS,NE,,,,32.03059943,-84.41606653
49129,John Day Fossil Beds NM,OH,,,,44.62566508,-119.8811491
49130,John F. Kennedy NHS,PA,,,,42.34693694,-71.12323846
49131,John Muir NHS,AR,,,,37.9828422,-122.1326097
49132,Johnstown Flood NMEM,CO,,,,40.34584534,-78.77448601
49133,Joshua Tree NP,AZ,,,,33.91418525,-115.8398125
49134,Kalaupapa NHP,PA,,,,21.1731108,-156.9511609
49135,Kaloko Honokohau NHP,OH,,,,19.68083237,-156.0306932
49136,Katmai NP & PRES,LA,,,,58.62235668,-155.0126574
49137,Kenai Fjords NP,MO,,,,59.81804414,-150.106502
49138,Klondike Gold Rush NHP Alaska,SD,,,,59.61042373,-135.2618535
49139,Klondike Gold Rush NHP Seattle,GA,,,,47.5993663,-122.3319664
49140,Knife River Indian Villages NHS,OR,,,,47.3540219,-101.3860533
49141,Kobuk Valley NP,MA,,,,67.35631336,-159.2002293
49142,Korean War Veterans Memorial,CA,,,,38.88784226,-77.04773857
49143,Lake Clark NP & PRES,PA,,,,60.57405857,-153.55535
