id,city_name,latitude,longitude,country_code
145,Noorvik,66.836353,-161.044132,USA
146,North Pole,64.78049,-147.369353,USA
147,Northway,62.964167,-141.908611,USA
148,Nuiqsut,70.192737,-150.997119,USA
149,Nulato,64.778024,-157.991353,USA
150,Nunam Iqua,62.509167,-164.453333,USA
151,Nunapitchuk,60.896944,-162.459444,USA
152,Old Harbor,57.202778,-153.303889,USA
153,Ouzinkie,57.925,-152.491667,USA
154,Palmer,61.613814,-149.065323,USA
155,Pedro Bay,59.92238,-153.821856,USA
156,Pelican,57.960833,-136.2275,USA
157,Perryville,55.945289,-159.259333,USA
158,Petersburg,56.827134,-133.160683,USA
159,Pilot Point,57.595193,-157.449272,USA
160,Pilot Station,61.946159,-162.874716,USA
161,Platinum,58.63364,-162.043201,USA
162,Point Baker,56.307858,-133.376372,USA
163,Point Hope,68.312058,-166.72618,USA
164,Point Lay,69.705626,-162.906148,USA
165,Port Alexander,57.05,-135.333333,USA
166,Port Alsworth,60.636416,-154.433803,USA
167,Port Heiden,56.964333,-158.566367,USA
168,Port Lions,57.866667,-152.883333,USA
169,Prudhoe Bay,70.070057,-148.559636,USA
170,Quinhagak,59.738057,-161.874938,USA
171,Rampart,65.383627,-150.011201,USA
172,Red Devil,61.735389,-157.195969,USA
173,Ruby,64.720062,-155.503872,USA
174,Russian Mission,61.591302,-161.558413,USA
175,Saint George Island,56.60324,-169.547257,USA
176,Saint Marys,62.054106,-163.205263,USA
177,Saint Michael,63.47759,-162.109141,USA
178,Saint Paul Island,57.178697,-170.293408,USA
179,Salcha,64.50905,-146.952974,USA
180,Sand Point,55.319236,-160.491435,USA
181,Savoonga,63.679737,-170.470908,USA
182,Scammon Bay,61.845019,-165.581945,USA
183,Selawik,65.713537,-158.534287,USA
184,Seldovia,59.436667,-151.708333,USA
185,Seward,60.132874,-149.39849,USA
186,Shageluk,62.661092,-159.52816,USA
187,Shaktoolik,64.375498,-161.174589,USA
188,Shishmaref,66.230562,-166.137276,USA
189,Shungnak,66.958141,-157.613496,USA
190,Sitka,57.051436,-135.316569,USA
191,Skagway,59.468471,-135.301794,USA
192,Skwentna,61.958333,-151.181667,USA
193,Sleetmute,61.634555,-157.118284,USA
194,Soldotna,60.481778,-151.13582,USA
195,South Naknek,58.736221,-156.850289,USA
196,Stebbins,63.478468,-162.227355,USA
197,Sterling,60.520373,-150.849792,USA
198,Stevens Village,65.995894,-149.118286,USA
199,Sutton,61.796667,-148.462778,USA
200,Takotna,62.948889,-155.566389,USA
201,Talkeetna,62.260516,-150.110097,USA
202,Tanacross,63.385278,-143.346389,USA
203,Tanana,65.156483,-152.103747,USA
204,Tatitlek,60.864722,-146.678611,USA
205,Teller,65.240164,-166.3833,USA
206,Tenakee Springs,57.78,-135.216667,USA
207,Thorne Bay,55.66086,-132.513815,USA
208,Togiak,59.066667,-160.4,USA
209,Tok,63.333333,-142.983333,USA
210,Toksook Bay,60.537,-165.097,USA
211,Trapper Creek,61.441361,-150.284455,USA
212,Tuluksak,61.108848,-160.938924,USA
213,Tuntutuliak,60.8438,-161.6372,USA
214,Tununak,60.539322,-165.097464,USA
215,Two Rivers,64.871944,-147.038056,USA
216,Tyonek,61.117929,-151.348495,USA
217,Unalakleet,63.883478,-160.788365,USA
218,Unalaska,53.887114,-166.519855,USA
219,Valdez,60.895044,-146.195628,USA
220,Venetie,67.010446,-146.413723,USA
221,Wainwright,70.620064,-160.012532,USA
222,Wales,65.688212,-168.520521,USA
223,Ward Cove,55.408333,-131.725,USA
224,Wasilla,61.5814,-149.4394,USA
225,White Mountain,64.702791,-163.42185,USA
226,Whittier,60.775,-148.683333,USA
227,Willow,61.771511,-150.188891,USA
228,Wrangell,56.433524,-132.352918,USA
229,Yakutat,59.620211,-139.778858,USA
230,Abbeville,31.575479,-85.279044,USA
231,Abernant,33.290278,-87.198056,USA
232,Adamsville,33.588437,-86.959727,USA
233,Addison,34.205571,-87.194766,USA
234,Adger,33.434277,-87.167455,USA
235,Akron,32.872354,-87.708558,USA
236,Alabaster,33.236868,-86.812861,USA
237,Alberta,32.144889,-87.342503,USA
238,Albertville,34.273859,-86.206447,USA
239,Alexander City,32.941445,-85.951086,USA
240,Alexandria,33.780785,-85.892447,USA
